obj-601117 | Kanope (Scheinkanope) mit angedeutetem Deckel in Gestalt eines Schakalkopfes (Duamutef) | Kanope (Grabausstattung) | Ägyptisches Museum und Papyrussammlung | 21.–22. Dynastie / Datierung engl.: 21st - 22nd Dynasty
obj-758585 | Zweifingeramulett | Amulett (Kleinkunst / Schmuck) | Ägyptisches Museum und Papyrussammlung | Spätzeit–frühe Ptolemäerzeit
obj-606786 | Statuette des Gottes Osiris mit Atef-Krone | Statuette (Rundbild ) | Ägyptisches Museum und Papyrussammlung | Spätzeit (Ägypten)
obj-762249 | Mumientuch einer Frau | Mumientuch (Grabausstattung) | Ägyptisches Museum und Papyrussammlung | 3.-4. Jh. n. Chr.
obj-758000 | Mumienmaske | Mumienmaske ( Mumienhülle  -> Grabausstattung ) | Ägyptisches Museum und Papyrussammlung | 2.–3. Jh. n. Chr.
obj-607494 | Figur eines liegenden Schakals, den Gott Anubis verkörpernd | Statue (Rundbild) | Ägyptisches Museum und Papyrussammlung | Historische Datierung: Spätzeit / Datierung engl.: Late Period
obj-824069 | Hieroglyphischer Papyrus mit dem Totenbuch des Priesters im Amun-Tempel Nes-pa-her-an (Platte A) | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | 21. Dynastie (3. Zwischenzeit -> Ägypten) / Abweichende Datierung: 20. Dynastie (Neues Reich -> Ägypten)
obj-769919 | Kopf einer meroitischen Ba-Statue | Statue (Rundbild ) | Ägyptisches Museum und Papyrussammlung | Meroitisch (Meroitisch/Lokale Regenten -> Sudan)
obj-828254 | Hieratischer Papyrus mit dem Totenbuch des Priesters Schem-in-eni | Rolle (Schriftträger) | Ägyptisches Museum und Papyrussammlung | Ptolemäerzeit (Griechisch–Römische Zeit -> Ägypten)
obj-604448 | Dekoriertes Mumienbett eines Kindes mit Löwenbeinen (Löwenbahre mit kastenförmigem Aufsatz) | Mensch (Grabausstattung / Sarg/Sarkophag) | Ägyptisches Museum und Papyrussammlung | 1. Jh. n. Chr.
obj-1082970 | Hieroglyphischer Papyrus mit dem Totenbuch der Hausherrin Keku | Rolle (Schriftträger) | Ägyptisches Museum und Papyrussammlung | Ptolemäerzeit (Griechisch–Römische Zeit -> Ägypten)
obj-761702 | Stele mit griechischer Inschrift | Relief (Stele) | Ägyptisches Museum und Papyrussammlung | 1.–2. Jh. n. Chr.
obj-3424449 | Hieratischer Papyrus mit dem Totenbuch der Senchonsis | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | Spätzeit–frühe Ptolemäerzeit (Ägypten) / Abweichende Datierung: 22. Dynastie (3. Zwischenzeit -> Ägypten)
obj-3555450 | Hieroglyphischer Papyrus, Totenbuch des königlichen Schreibers Nacht-Amun | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | 19. Dynastie (Neues Reich -> Ägypten)
obj-3555449 | Hieroglyphischer Papyrus, Totenbuch des königlichen Schreibers Nacht-Amun | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | 19. Dynastie (Neues Reich -> Ägypten)
obj-3929776 | Hieroglyphischer Papyrus, Totenbuch des königlichen Schreibers Nacht-Amun | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | 19. Dynastie (Neues Reich -> Ägypten)
obj-2255647 | Hieroglyphischer Papyrus mit dem Totenbuch des Priesters im Amun-Tempel Nes-pa-her-an | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | 21. Dynastie (3. Zwischenzeit -> Ägypten) / Abweichende Datierung: 20. Dynastie (Neues Reich -> Ägypten)
obj-2288692 | Hieratischer Papyrus mit dem Totenbuch der Ta-iri-Neith | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | Spätzeit–frühe Ptolemäerzeit (Ägypten)
obj-2288694 | Hieratischer Papyrus mit dem Totenbuch der Ta-iri-Neith | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | Spätzeit–frühe Ptolemäerzeit (Ägypten)
obj-2288695 | Hieratischer Papyrus mit dem Totenbuch der Ta-iri-Neith | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | Spätzeit–frühe Ptolemäerzeit (Ägypten)
obj-2288697 | Hieratischer Papyrus mit dem Totenbuch der Ta-iri-Neith | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | Spätzeit–frühe Ptolemäerzeit (Ägypten)
obj-2288698 | Hieratischer Papyrus mit dem Totenbuch der Ta-iri-Neith | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | Spätzeit–frühe Ptolemäerzeit (Ägypten)
obj-2288702 | Hieratischer Papyrus mit dem Totenbuch der Ta-iri-Neith | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | Spätzeit–frühe Ptolemäerzeit (Ägypten)
obj-2288703 | Hieratischer Papyrus mit dem Totenbuch der Ta-iri-Neith | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | Spätzeit–frühe Ptolemäerzeit (Ägypten)
obj-2288700 | Hieratischer Papyrus mit dem Totenbuch der Ta-iri-Neith | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | Spätzeit–frühe Ptolemäerzeit (Ägypten)
obj-2288701 | Hieratischer Papyrus mit dem Totenbuch der Ta-iri-Neith | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | Spätzeit–frühe Ptolemäerzeit (Ägypten)
obj-2046737 | Hieroglyphischer Papyrus mit dem Totenbuch der Hausherrin Keku | Rolle (Schriftträger) | Ägyptisches Museum und Papyrussammlung | Ptolemäerzeit (Griechisch–Römische Zeit -> Ägypten) / Abweichende Datierung: Spätzeit (Ägypten)
obj-2049069 | Hieroglyphischer Papyrus mit dem Totenbuch der Hausherrin Keku | Rolle (Schriftträger) | Ägyptisches Museum und Papyrussammlung | Ptolemäerzeit (Griechisch–Römische Zeit -> Ägypten)
obj-2322102 | Hieratische Leinenstreifen (Mumienbinde) mit dem Totenbuch des Pa-di- (A) | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | 26. Dynastie ("Saiten") (Spätzeit -> Ägypten)
obj-2318862 | Hieratischer Papyrus mit dem Totenbuch des Priesters des Amun, Hori | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | 19. Dynastie (Neues Reich -> Ägypten)
